Sample_ID,Location,pH,Turbidity_NTU,TDS_ppm,Temperature_C,Quality_Label
WS001,Tap-Water-2,7.42,3.19,250.6,19.2,Safe
WS002,Pond-Sample,4.74,24.43,1349.2,19.2,Unsafe
WS003,Lake-Sample,6.95,3.25,53.2,18.3,Safe
WS004,Residential-Zone,9.04,20.92,779.7,25.3,Unsafe
WS005,Industrial-Zone,5.53,6.25,1448.0,26.3,Unsafe
WS006,Residential-Zone,4.67,18.98,1149.0,31.7,Unsafe
WS007,River-Point-1,7.53,1.9,284.0,24.6,Safe
WS008,Tap-Water-1,9.45,23.0,1138.1,33.4,Unsafe
WS009,Pond-Sample,6.71,2.84,482.5,28.1,Safe
WS010,Borewell-B,7.38,3.23,174.2,21.6,Safe
WS011,Borewell-A,9.35,6.1,1333.9,29.1,Unsafe
WS012,River-Point-1,7.23,3.23,466.8,25.8,Safe
WS013,Tap-Water-2,6.84,2.17,351.0,26.0,Safe
WS014,Pond-Sample,5.45,19.55,1284.7,26.2,Unsafe
WS015,Tap-Water-2,8.81,8.05,628.3,27.7,Unsafe
WS016,River-Point-2,7.16,3.63,112.7,25.3,Safe
WS017,River-Point-2,7.85,4.46,331.0,21.5,Safe
WS018,Lake-Sample,7.53,4.12,134.0,28.7,Safe
WS019,Residential-Zone,5.11,10.33,984.4,31.4,Unsafe
WS020,Industrial-Zone,9.61,10.22,707.9,21.8,Unsafe
WS021,Tap-Water-1,9.37,24.46,1466.2,20.0,Unsafe
WS022,Borewell-B,7.02,2.05,335.5,26.2,Safe
WS023,Lake-Sample,7.17,4.94,158.9,26.1,Safe
WS024,Pond-Sample,9.3,24.69,958.9,31.3,Unsafe
WS025,Borewell-A,5.36,17.23,1209.8,15.3,Unsafe
WS026,River-Point-1,6.91,4.73,228.9,24.2,Safe
WS027,Pond-Sample,5.08,16.29,1226.2,19.6,Unsafe
WS028,Residential-Zone,7.09,2.82,167.4,30.0,Safe
WS029,Lake-Sample,6.62,2.07,376.7,28.8,Safe
WS030,Pond-Sample,7.68,4.49,432.9,29.2,Safe
WS031,River-Point-2,7.32,0.52,122.4,24.6,Safe
WS032,Tap-Water-1,6.91,4.98,129.2,18.2,Safe
WS033,Lake-Sample,5.12,18.49,1111.5,16.9,Unsafe
WS034,River-Point-1,7.42,4.91,269.0,28.9,Safe
WS035,Borewell-B,6.6,3.4,351.0,28.4,Safe
WS036,River-Point-1,7.2,1.76,447.6,27.0,Safe
WS037,Lake-Sample,7.28,2.43,485.0,29.6,Safe
WS038,Borewell-A,5.02,12.02,752.5,26.1,Unsafe
WS039,Tap-Water-1,6.85,3.27,495.5,19.7,Safe
WS040,Residential-Zone,7.26,3.83,363.7,26.4,Safe
WS041,Tap-Water-2,5.88,17.62,673.4,15.1,Unsafe
WS042,River-Point-2,7.73,4.08,450.5,22.1,Safe
WS043,Borewell-B,5.48,8.95,1483.7,31.8,Unsafe
WS044,Residential-Zone,10.16,16.2,894.0,31.6,Unsafe
WS045,Lake-Sample,7.6,4.29,137.5,22.9,Safe
WS046,River-Point-1,6.39,4.08,171.9,23.3,Unsafe
WS047,Tap-Water-2,4.81,19.22,968.1,18.5,Unsafe
WS048,Borewell-A,7.27,1.58,92.2,20.2,Safe
WS049,Lake-Sample,8.05,2.46,378.5,18.6,Safe
WS050,Residential-Zone,7.29,3.91,56.5,19.4,Safe
WS051,Lake-Sample,5.03,15.01,688.1,24.8,Unsafe
WS052,Tap-Water-2,9.83,17.7,1171.6,15.9,Unsafe
WS053,Residential-Zone,7.67,3.46,123.3,18.8,Safe
WS054,Tap-Water-2,7.2,4.4,336.4,27.6,Safe
WS055,Borewell-B,7.29,4.19,331.7,27.8,Safe
WS056,Pond-Sample,7.09,1.38,81.2,19.2,Safe
WS057,Borewell-B,9.24,12.06,1360.4,15.5,Unsafe
WS058,Borewell-B,9.92,17.95,1389.7,29.7,Unsafe
WS059,Lake-Sample,6.31,3.06,309.2,26.8,Unsafe
WS060,River-Point-2,7.76,3.99,203.4,29.2,Safe
WS061,Lake-Sample,5.66,7.96,1412.3,25.1,Unsafe
WS062,Industrial-Zone,9.34,24.21,1362.4,22.1,Unsafe
WS063,River-Point-2,6.87,1.82,197.9,26.1,Safe
WS064,River-Point-2,8.04,4.02,101.1,29.2,Safe
WS065,Residential-Zone,5.43,16.37,1235.2,34.4,Unsafe
WS066,Industrial-Zone,6.87,0.88,365.4,18.9,Safe
WS067,Borewell-B,7.3,1.16,281.0,20.8,Safe
WS068,Pond-Sample,7.66,4.76,493.7,27.0,Safe
WS069,Tap-Water-1,7.01,2.67,220.1,26.5,Safe
WS070,Residential-Zone,7.19,0.55,260.9,18.7,Safe
WS071,Pond-Sample,5.6,10.51,960.2,24.6,Unsafe
WS072,Industrial-Zone,6.8,1.51,483.5,18.1,Safe
WS073,Lake-Sample,10.35,16.52,1472.4,25.5,Unsafe
WS074,Industrial-Zone,10.49,17.1,1411.0,15.9,Unsafe
WS075,Residential-Zone,7.16,3.29,174.8,20.3,Safe
WS076,Residential-Zone,7.59,1.53,169.7,22.3,Safe
WS077,River-Point-2,7.34,1.89,416.2,26.2,Safe
WS078,River-Point-1,7.95,4.77,376.6,25.4,Safe
WS079,Borewell-B,5.99,6.5,938.8,31.2,Unsafe
WS080,Borewell-A,6.95,4.23,306.1,18.8,Safe
WS081,Industrial-Zone,7.77,1.73,75.4,28.4,Safe
WS082,Borewell-A,7.33,3.13,376.8,27.1,Safe
WS083,River-Point-1,5.27,11.22,786.5,32.6,Unsafe
WS084,Pond-Sample,7.28,2.11,101.1,26.1,Safe
WS085,Borewell-B,6.99,4.17,485.6,19.1,Safe
WS086,Industrial-Zone,7.56,2.66,239.2,27.4,Safe
WS087,Borewell-B,7.29,4.91,323.6,25.6,Safe
WS088,River-Point-1,7.52,2.07,281.3,27.4,Safe
WS089,Tap-Water-2,7.59,2.57,428.9,27.2,Safe
WS090,River-Point-2,7.46,4.91,271.7,21.9,Safe
WS091,River-Point-1,8.14,2.3,364.0,20.2,Safe
WS092,River-Point-2,6.02,24.49,1141.7,19.5,Unsafe
WS093,Lake-Sample,4.97,16.43,1081.0,22.1,Unsafe
WS094,Borewell-B,9.21,21.19,1165.1,16.6,Unsafe
